sentence_id,sentence
505,"`Well, I should just like to see it for a moment,' said Bilbo."
506,"When he had dressed, Frodo found that while he slept the Ring had been hung about his neck on a new chain, light but strong."
507,Slowly he drew it out.
508,Bilbo put out his hand.
509,But Frodo quickly drew back the Ring.
510,"To his distress and amazement he found that he was no longer looking at Bilbo; a shadow seemed to have fallen between them, and through it he found himself eyeing a little wrinkled creature with a hungry face and bony groping hands."
511,He felt a desire to strike him.
512,The music and singing round them seemed to falter and a silence fell.
513,Bilbo looked quickly at Frodo's face and passed his hand across his eyes.
514,"`I understand now,' he said."
515,`Put it away!
516,I am sorry: sorry you have come in for this burden: sorry about everything.
517,Don't adventures ever have an end?
518,I suppose not.
519,Someone else always has to carry on the story.
520,"Well, it can't be helped."
521,I wonder if it's any good trying to finish my book?
522,But don't let's worry about it now-let's have some real News!
523,Tell me all about the Shire!'
524,"Frodo hid the Ring away, and the shadow passed leaving hardly a shred of memory."
525,The light and music of Rivendell was about him again.
