word1,word2,MI_score
eyes,frodo,1.1562824199417623
dead,come,1.1557411724993294
old,old,1.1535331837809437
yet,still,1.1533041539619546
master,sam,1.1528065099835452
sam,master,1.1528065099835452
faramir,men,1.1480728068009327
great,hands,1.1467053338719193
may,well,1.1463916704201136
go,far,1.1447746477451997
turned,pippin,1.1435433081110844
say,frodo,1.1400539581498759
road,road,1.137458545650107
go,shall,1.1352338805355942
merry,looked,1.134344974136006
pippin,thought,1.1324881196020886
thought,gandalf,1.1316076221436404
men,rohan,1.1314154628473236
said,frodo,1.130256956398469
said,ruffians,1.1268113014505996
well,sam,1.1265831893399358
night,came,1.126239412023489
said,lie,1.1218106203922336
aragorn,time,1.1190236533543363
said,may,1.1165163207227202
turned,went,1.1158033505866918
said,saruman,1.1152973134335564
end,frodo,1.1118883005833098
said,stay,1.1097377880916586
great,rose,1.1077112022560556
yet,though,1.106257971167791
denethor,would,1.1049513135995532
day,came,1.1044434884221452
aragorn,must,1.1036068039233182
would,set,1.103071580381327
pippin,think,1.0976702598267174
lord,must,1.0970639580565464
came,towards,1.0950447904198963
gondor,lord,1.0948574395929462
gondor,men,1.0926830683586104
say,would,1.0903539373865936
east,great,1.08860237930835
may,merry,1.0885019445531245
gondor,upon,1.086345939737427
could,heard,1.085784033190544
know,lord,1.0853346654744396
see,far,1.08459247685221
said,merry,1.0843359149735683
food,said,1.0799904446976072
said,thats,1.0799904446976072
gondor,still,1.074332042261549
call,said,1.0741138783609383
last,day,1.0715288659494107
long,way,1.0678523335553223
could,way,1.0668147966239552
said,yes,1.0648835523073963
wind,great,1.064642480364169
little,well,1.0644500568839383
hand,back,1.0607221109928275
well,see,1.059737288165934
say,well,1.0565061669029205
back,cried,1.0550755478516844
dead,men,1.0549634024094523
went,many,1.0546918362833058
beyond,great,1.0537723951452538
back,road,1.0486492786922526
come,take,1.046542401597696
came,east,1.0435144897798132
merry,last,1.0435144897798132
end,last,1.0435144897798114
us,yet,1.0409539324361763
great,black,1.040597006397519
said,dont,1.0393484602002623
counsel,said,1.0393484602002587
meet,said,1.0393484602002587
said,best,1.0393484602002587
said,lady,1.0393484602002587
said,wait,1.0393484602002587
work,said,1.0393484602002587
go,know,1.0329838222876457
walls,came,1.0309144530001806
sam,things,1.0291922431252694
dark,saw,1.0271695512817995
went,road,1.0248296905392014
sam,see,1.0243319520347356
shall,see,1.022584289748469
came,wind,1.0195545908356305
cried,sam,1.0178769298974348
said,speak,1.0176533891009392
one,much,1.01718034196635
come,may,1.0171803419663483
old,king,1.0152971415888246
great,fell,1.0146017978645752
take,said,1.0121269914652373
one,hand,1.008668842110831
said,well,1.0076396004729204
pippin,merry,1.0060397843611497
said,chief,1.002822584175144
must,shall,1.0023234680861357
shall,must,1.0023234680861357
still,way,0.9998538263022727
away,stood,0.9990522966123745
must,may,0.9986602539955527
pippin,city,0.9981345862758051
men,city,0.9959602150414675
long,road,0.9957973964265179
said,eowyn,0.9935447705871354
though,could,0.9933377844259486
said,care,0.9920427454219016
away,road,0.991014977546957
said,cant,0.9868810403061232
passed,came,0.9867918997678728
lord,said,0.9861555210346644
sam,might,0.9854554522050574
